               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11666,           0.0034531,            0.013894,           0.0012596,             0.27528,           0.0026616,          0.00085458,              0.1028,           0.0024266,            0.012557,             0.04824,             0.00064,             0.00064
                   1,            0.092715,           0.0054628,            0.012311,           0.0018012,             0.41273,            0.011191,           0.0033033,            0.079788,           0.0036143,            0.010818,            0.025796,           0.0012957,           0.0012957
                   2,            0.076717,           0.0071729,            0.011126,            0.061391,             0.12018,            0.067535,            0.020007,            0.067584,           0.0041641,           0.0093471,            0.003347,            0.001947,            0.001947
                   3,            0.063602,           0.0080333,           0.0097075,             0.70116,             0.20754,             0.23742,            0.098401,            0.058437,           0.0040358,           0.0082634,             0.00198,             0.00198,             0.00198
                   4,            0.057654,           0.0079106,           0.0088837,             0.89633,             0.26571,             0.36464,             0.15887,            0.050661,           0.0040463,           0.0077625,             0.00198,             0.00198,             0.00198
                   5,            0.049139,            0.007729,           0.0081984,             0.86576,             0.30152,             0.46804,             0.21611,            0.047569,           0.0039189,           0.0074062,           0.0019734,           0.0019734,           0.0019734
                   6,            0.045212,           0.0077713,           0.0080159,             0.84853,             0.36382,             0.53192,             0.25986,            0.042321,           0.0036983,           0.0068671,           0.0019667,           0.0019667,           0.0019667
                   7,            0.041559,           0.0068699,           0.0077413,             0.83575,             0.46029,              0.5551,             0.28679,            0.041584,           0.0034388,           0.0063513,           0.0019601,           0.0019601,           0.0019601
                   8,            0.040001,           0.0069052,           0.0076344,             0.88031,             0.43765,             0.56929,             0.31988,             0.03528,           0.0032534,           0.0061179,           0.0019534,           0.0019534,           0.0019534
                   9,            0.036839,           0.0066275,           0.0072953,             0.84223,              0.4731,             0.60619,             0.36491,            0.034538,           0.0030538,           0.0059605,           0.0019468,           0.0019468,           0.0019468
                  10,            0.034314,           0.0060052,           0.0069858,             0.87982,             0.49826,             0.64933,             0.42378,            0.030432,           0.0029416,           0.0057403,           0.0019401,           0.0019401,           0.0019401
                  11,            0.033601,           0.0060296,           0.0066726,             0.88563,             0.49989,               0.671,               0.417,            0.031244,           0.0027994,           0.0054657,           0.0019335,           0.0019335,           0.0019335
                  12,            0.031696,           0.0055676,           0.0065266,             0.88966,             0.51622,             0.69008,             0.44318,            0.030419,           0.0027012,           0.0053171,           0.0019268,           0.0019268,           0.0019268
                  13,            0.031353,           0.0052144,           0.0061349,             0.91148,             0.60059,             0.73269,             0.47082,            0.031293,           0.0025983,           0.0050875,           0.0019202,           0.0019202,           0.0019202
                  14,            0.032121,           0.0052775,           0.0062425,             0.87854,             0.64295,             0.74707,             0.50935,            0.030253,           0.0025065,           0.0048799,           0.0019135,           0.0019135,           0.0019135
                  15,            0.030805,           0.0053506,           0.0058988,             0.87648,              0.6652,             0.75603,             0.51821,            0.028361,           0.0024574,           0.0046683,           0.0019069,           0.0019069,           0.0019069
                  16,            0.029659,           0.0049917,           0.0054891,             0.88719,             0.68489,             0.77437,             0.49437,            0.029932,           0.0023864,           0.0045004,           0.0019002,           0.0019002,           0.0019002
                  17,            0.029321,           0.0048283,           0.0054238,             0.93931,             0.68948,             0.79546,             0.50096,            0.028955,           0.0023201,           0.0043102,           0.0018935,           0.0018935,           0.0018935
                  18,            0.029529,           0.0045986,           0.0053468,             0.93719,             0.68806,             0.81848,             0.53355,             0.02749,            0.002264,           0.0041633,           0.0018869,           0.0018869,           0.0018869
                  19,            0.027932,            0.004742,           0.0053049,              0.9247,             0.69183,             0.83904,             0.53773,            0.028073,           0.0022392,            0.004048,           0.0018802,           0.0018802,           0.0018802
                  20,            0.028356,           0.0045376,           0.0051674,             0.89602,             0.68417,             0.85944,             0.57131,            0.025603,           0.0022129,           0.0039177,           0.0018736,           0.0018736,           0.0018736
                  21,            0.027367,           0.0044229,           0.0048488,             0.93025,              0.6972,             0.86318,             0.56306,            0.026219,            0.002112,             0.00379,           0.0018669,           0.0018669,           0.0018669
                  22,             0.02785,           0.0043472,           0.0047056,              0.9223,             0.70026,             0.87057,             0.58652,            0.024855,            0.002095,           0.0037089,           0.0018603,           0.0018603,           0.0018603
                  23,            0.027506,           0.0040138,           0.0048092,             0.93828,             0.70536,             0.88245,             0.57967,            0.025306,           0.0020435,           0.0035794,           0.0018536,           0.0018536,           0.0018536
                  24,            0.027137,            0.004397,           0.0044635,              0.9386,             0.73404,             0.88498,             0.58767,            0.026009,           0.0020165,           0.0034927,            0.001847,            0.001847,            0.001847
                  25,            0.026653,           0.0042682,           0.0047019,             0.92377,             0.75994,             0.89472,             0.61466,            0.024378,           0.0019433,           0.0033853,           0.0018403,           0.0018403,           0.0018403
                  26,             0.02668,           0.0038539,           0.0043536,             0.91297,              0.7799,             0.90154,             0.61286,            0.025514,           0.0019227,           0.0033062,           0.0018337,           0.0018337,           0.0018337
                  27,             0.02604,           0.0038891,           0.0041908,             0.91089,             0.78761,             0.91299,             0.65157,            0.023395,           0.0018784,           0.0031835,            0.001827,            0.001827,            0.001827
                  28,            0.025836,           0.0039036,           0.0038978,             0.93447,             0.78445,              0.9238,              0.6163,            0.024737,           0.0018546,           0.0031206,           0.0018204,           0.0018204,           0.0018204
                  29,            0.024779,           0.0035674,           0.0038704,             0.92057,             0.77536,             0.92704,             0.63974,            0.022524,            0.001839,            0.003074,           0.0018137,           0.0018137,           0.0018137
                  30,            0.024704,           0.0036349,           0.0040828,             0.92827,             0.76407,             0.92975,             0.62676,              0.0246,           0.0018249,             0.00302,           0.0018071,           0.0018071,           0.0018071
                  31,            0.025468,           0.0038857,           0.0039533,             0.93066,             0.81239,             0.93906,             0.64205,            0.022514,           0.0018213,           0.0029497,           0.0018004,           0.0018004,           0.0018004
                  32,            0.024049,           0.0038823,           0.0036072,             0.92186,             0.84524,             0.94465,             0.65587,            0.022961,           0.0017839,           0.0028815,           0.0017937,           0.0017937,           0.0017937
                  33,            0.024478,           0.0035946,           0.0035446,             0.92165,             0.84645,             0.94761,             0.66046,             0.02469,           0.0017734,           0.0028313,           0.0017871,           0.0017871,           0.0017871
                  34,            0.024109,           0.0037472,           0.0035295,             0.91671,             0.86686,             0.95248,             0.66676,            0.023563,           0.0017321,           0.0027533,           0.0017804,           0.0017804,           0.0017804
                  35,            0.023983,           0.0036481,           0.0035371,             0.95008,             0.87291,             0.96396,             0.69736,            0.022883,           0.0016966,           0.0026846,           0.0017738,           0.0017738,           0.0017738
                  36,            0.023159,           0.0034466,           0.0033338,             0.94693,             0.86282,             0.96077,             0.68135,            0.022414,           0.0017077,            0.002619,           0.0017671,           0.0017671,           0.0017671
                  37,            0.023768,           0.0034011,           0.0032133,             0.93183,             0.84086,             0.96561,             0.66124,            0.025424,           0.0016821,           0.0025911,           0.0017605,           0.0017605,           0.0017605
                  38,            0.022834,           0.0034795,           0.0031587,             0.91704,             0.84749,             0.96851,             0.66225,            0.024236,           0.0017036,           0.0025403,           0.0017538,           0.0017538,           0.0017538
                  39,            0.023226,           0.0035059,           0.0031252,              0.9464,             0.84876,             0.96922,              0.6539,            0.023446,           0.0016658,           0.0024949,           0.0017472,           0.0017472,           0.0017472
                  40,            0.022632,           0.0033477,           0.0030927,             0.93141,             0.86362,              0.9675,             0.68525,            0.022591,           0.0016284,           0.0024923,           0.0017405,           0.0017405,           0.0017405
                  41,            0.023679,           0.0034562,           0.0030506,             0.93305,             0.88145,             0.97368,             0.67949,            0.022244,           0.0016185,           0.0024092,           0.0017339,           0.0017339,           0.0017339
                  42,            0.021701,           0.0032665,           0.0029338,             0.92962,              0.8747,             0.97414,             0.68832,            0.022013,           0.0016426,            0.002346,           0.0017272,           0.0017272,           0.0017272
                  43,            0.023601,           0.0035063,           0.0031408,             0.92904,             0.87761,             0.97329,              0.6721,            0.023835,           0.0016418,           0.0023098,           0.0017206,           0.0017206,           0.0017206
                  44,            0.021437,           0.0032348,           0.0026689,             0.93724,             0.87351,             0.97142,             0.68503,            0.022316,           0.0016169,           0.0022656,           0.0017139,           0.0017139,           0.0017139
                  45,            0.023186,           0.0032067,           0.0029194,             0.94447,             0.90129,             0.97674,              0.6968,            0.023126,           0.0015913,           0.0022229,           0.0017073,           0.0017073,           0.0017073
                  46,            0.021864,           0.0033144,           0.0027365,             0.94232,             0.89852,             0.97953,             0.70283,             0.02204,           0.0016049,           0.0021455,           0.0017006,           0.0017006,           0.0017006
                  47,            0.022042,           0.0032667,           0.0026456,             0.92244,             0.91534,             0.98031,             0.71465,             0.02163,           0.0015674,           0.0020856,           0.0016939,           0.0016939,           0.0016939
                  48,            0.022581,           0.0033167,            0.002808,             0.94105,             0.92849,             0.98056,             0.71335,             0.02233,           0.0015399,           0.0020802,           0.0016873,           0.0016873,           0.0016873
                  49,             0.02189,           0.0031517,           0.0023959,             0.93743,             0.91236,             0.97807,             0.71613,            0.022589,            0.001576,           0.0020591,           0.0016806,           0.0016806,           0.0016806
                  50,             0.02214,           0.0031882,           0.0024401,             0.92468,             0.91358,             0.97849,             0.69024,            0.022814,           0.0015924,           0.0020236,            0.001674,            0.001674,            0.001674
                  51,            0.021987,           0.0032188,           0.0025159,              0.9401,             0.91896,             0.97942,             0.70536,             0.02136,           0.0015862,           0.0020021,           0.0016673,           0.0016673,           0.0016673
                  52,            0.022023,           0.0030292,           0.0023825,             0.94176,             0.92893,             0.97962,             0.71234,            0.023063,            0.001566,           0.0019706,           0.0016607,           0.0016607,           0.0016607
                  53,            0.021427,           0.0029814,           0.0025262,             0.94967,             0.93453,             0.98261,             0.71039,            0.022631,            0.001517,           0.0019477,            0.001654,            0.001654,            0.001654
                  54,            0.021585,           0.0031949,            0.002422,             0.95015,             0.93324,             0.98288,             0.69156,            0.022437,            0.001476,           0.0018701,           0.0016474,           0.0016474,           0.0016474
                  55,            0.020676,           0.0029641,           0.0021517,             0.96087,             0.93841,             0.98685,             0.69822,            0.021782,           0.0014468,           0.0017997,           0.0016407,           0.0016407,           0.0016407
                  56,            0.021666,           0.0030426,           0.0021146,             0.95562,             0.95323,             0.98827,             0.71764,            0.021128,           0.0014335,           0.0017852,           0.0016341,           0.0016341,           0.0016341
                  57,             0.02068,           0.0031437,           0.0021071,             0.95121,             0.97052,             0.98812,             0.72298,            0.020786,           0.0014152,           0.0017346,           0.0016274,           0.0016274,           0.0016274
                  58,            0.020883,           0.0027741,           0.0020936,             0.94536,             0.97213,             0.98817,             0.73232,            0.019896,           0.0014038,           0.0017005,           0.0016208,           0.0016208,           0.0016208
                  59,            0.020782,           0.0028816,           0.0021895,             0.95289,             0.97674,              0.9883,              0.7233,            0.020602,            0.001399,            0.001674,           0.0016141,           0.0016141,           0.0016141
                  60,            0.021042,           0.0028385,             0.00207,             0.95488,             0.97099,             0.98649,             0.71019,            0.022326,           0.0013865,            0.001664,           0.0016075,           0.0016075,           0.0016075
                  61,            0.020961,           0.0029438,           0.0021825,             0.95659,             0.96668,             0.98492,             0.71106,             0.02131,           0.0014156,           0.0016553,           0.0016008,           0.0016008,           0.0016008
                  62,            0.021154,           0.0031335,           0.0022714,             0.96209,             0.96739,             0.98723,             0.71596,            0.021317,           0.0014279,           0.0016112,           0.0015941,           0.0015941,           0.0015941
                  63,            0.021012,           0.0027583,           0.0020356,             0.95626,             0.95488,             0.98439,             0.71409,            0.020844,           0.0014415,           0.0015938,           0.0015875,           0.0015875,           0.0015875
                  64,            0.020726,            0.002736,           0.0019924,             0.96239,             0.95558,             0.98582,             0.71206,            0.022487,           0.0014272,           0.0016058,           0.0015808,           0.0015808,           0.0015808
                  65,            0.020169,           0.0029077,            0.001905,             0.95856,             0.97338,              0.9862,             0.70903,            0.021127,           0.0014003,           0.0015512,           0.0015742,           0.0015742,           0.0015742
                  66,            0.020862,            0.002918,            0.002059,             0.96032,             0.96876,             0.98593,             0.72899,            0.020107,           0.0013947,           0.0015529,           0.0015675,           0.0015675,           0.0015675
                  67,            0.020447,           0.0026544,           0.0019201,             0.96457,             0.96787,             0.98595,              0.6933,            0.022642,           0.0013863,           0.0015172,           0.0015609,           0.0015609,           0.0015609
                  68,            0.020068,           0.0028731,           0.0018851,             0.97143,              0.9685,             0.98724,              0.7015,            0.021256,           0.0013368,           0.0014693,           0.0015542,           0.0015542,           0.0015542
                  69,            0.020617,           0.0027031,           0.0018375,             0.97614,             0.96415,             0.98806,              0.7251,            0.020183,           0.0013547,           0.0014445,           0.0015476,           0.0015476,           0.0015476
                  70,            0.019371,           0.0026986,           0.0016742,             0.96612,             0.95672,              0.9872,             0.72273,            0.020471,           0.0013424,           0.0014327,           0.0015409,           0.0015409,           0.0015409
                  71,            0.018958,            0.002638,           0.0016209,             0.97052,             0.95852,             0.98635,             0.69768,            0.020268,           0.0013408,           0.0013614,           0.0015343,           0.0015343,           0.0015343
                  72,            0.019518,           0.0026973,           0.0016339,              0.9808,             0.95887,             0.98724,              0.7183,            0.019954,           0.0013075,            0.001313,           0.0015276,           0.0015276,           0.0015276
                  73,             0.01968,           0.0027058,           0.0016056,             0.98127,             0.95921,             0.98747,             0.70846,             0.02015,           0.0013167,           0.0012789,            0.001521,            0.001521,            0.001521
                  74,            0.019574,           0.0026725,           0.0017379,             0.97843,             0.96937,             0.98854,             0.71599,            0.020617,           0.0013133,           0.0012444,           0.0015143,           0.0015143,           0.0015143
                  75,            0.020022,           0.0028316,           0.0015635,             0.97788,              0.9663,             0.98791,             0.70867,             0.02156,           0.0013338,           0.0012114,           0.0015077,           0.0015077,           0.0015077
                  76,            0.019567,           0.0025492,           0.0015187,             0.97902,             0.97697,             0.98773,             0.73972,            0.020607,           0.0013182,           0.0011831,            0.001501,            0.001501,            0.001501
                  77,            0.019286,           0.0026315,           0.0016011,              0.9748,             0.97376,             0.98844,             0.72059,            0.020514,           0.0013166,           0.0011864,           0.0014943,           0.0014943,           0.0014943
                  78,            0.019628,            0.002733,           0.0016872,             0.97458,             0.97735,             0.98735,             0.70417,            0.021377,           0.0012985,           0.0011809,           0.0014877,           0.0014877,           0.0014877
                  79,            0.019163,            0.002433,           0.0014856,             0.97626,             0.96989,             0.98895,             0.70638,            0.021339,           0.0012852,           0.0012006,            0.001481,            0.001481,            0.001481
                  80,            0.019883,           0.0028217,           0.0014965,             0.97152,             0.97634,             0.98726,             0.71848,            0.020431,           0.0012951,           0.0011648,           0.0014744,           0.0014744,           0.0014744
                  81,            0.019063,           0.0025401,           0.0013685,             0.96577,             0.97668,             0.98757,             0.71918,            0.019843,           0.0012768,           0.0011446,           0.0014677,           0.0014677,           0.0014677
                  82,            0.019125,           0.0026746,           0.0015638,             0.96987,             0.97989,             0.98751,             0.72433,            0.020942,           0.0012803,           0.0011599,           0.0014611,           0.0014611,           0.0014611
                  83,            0.019706,           0.0026541,           0.0015688,             0.96637,             0.97804,             0.98693,             0.73173,            0.020871,           0.0012532,             0.00115,           0.0014544,           0.0014544,           0.0014544
                  84,            0.019351,           0.0027323,           0.0015947,             0.97206,              0.9799,             0.98762,              0.7305,            0.020637,            0.001253,           0.0011094,           0.0014478,           0.0014478,           0.0014478
                  85,            0.018873,           0.0025672,           0.0014911,             0.96994,             0.98038,             0.98767,             0.73003,            0.019716,           0.0012619,           0.0010531,           0.0014411,           0.0014411,           0.0014411
                  86,            0.019328,           0.0024647,           0.0013243,             0.96159,             0.97562,             0.98715,             0.71631,            0.021575,            0.001294,           0.0010424,           0.0014345,           0.0014345,           0.0014345
                  87,            0.018612,           0.0025928,           0.0012984,             0.97426,             0.97505,             0.98901,             0.73266,            0.020649,           0.0012756,           0.0010325,           0.0014278,           0.0014278,           0.0014278
                  88,            0.019536,           0.0027302,           0.0014717,             0.96922,             0.98042,             0.98857,             0.74378,            0.020235,           0.0012551,           0.0010277,           0.0014212,           0.0014212,           0.0014212
                  89,            0.019212,           0.0027505,           0.0014458,             0.97528,             0.97928,             0.98928,             0.73637,            0.019528,           0.0012533,           0.0010392,           0.0014145,           0.0014145,           0.0014145
                  90,            0.019024,           0.0026939,           0.0013202,             0.97205,             0.97784,             0.98871,             0.72547,            0.019109,           0.0012561,           0.0010416,           0.0014079,           0.0014079,           0.0014079
                  91,            0.018361,           0.0026593,           0.0013485,             0.97243,             0.97166,             0.98893,             0.72899,            0.019855,           0.0012439,           0.0010215,           0.0014012,           0.0014012,           0.0014012
                  92,            0.018355,           0.0025336,            0.001189,             0.97213,             0.97261,             0.98899,             0.72755,            0.020737,            0.001264,           0.0010187,           0.0013945,           0.0013945,           0.0013945
                  93,            0.018655,           0.0023048,           0.0012121,             0.97911,             0.95376,             0.98939,             0.73193,            0.019595,           0.0012703,          0.00098513,           0.0013879,           0.0013879,           0.0013879
                  94,            0.019416,           0.0026331,           0.0014934,             0.97583,             0.96759,             0.98983,              0.7507,            0.019023,           0.0012777,          0.00096995,           0.0013812,           0.0013812,           0.0013812
                  95,            0.018621,           0.0025241,           0.0011633,             0.97809,             0.97511,              0.9893,             0.72277,            0.019832,           0.0012665,          0.00094585,           0.0013746,           0.0013746,           0.0013746
                  96,            0.018459,           0.0025056,           0.0012408,             0.98157,             0.97365,             0.98979,             0.71713,            0.020836,           0.0012948,          0.00093545,           0.0013679,           0.0013679,           0.0013679
                  97,            0.018239,           0.0025168,           0.0011618,             0.97931,             0.98416,             0.99027,             0.72118,            0.020686,           0.0012936,          0.00089693,           0.0013613,           0.0013613,           0.0013613
                  98,            0.017907,           0.0024858,           0.0011591,             0.97929,             0.98142,             0.99024,             0.73604,            0.018591,           0.0012653,          0.00089557,           0.0013546,           0.0013546,           0.0013546
